,ids,growth,status,binary
682456,"{'CIW80_13585', 'CIW80_21345'}",0.0,optimal,0
683706,"{'CIW80_18035', 'CIW80_15010'}",0.0,optimal,0
688325,"{'CIW80_07985', 'CIW80_22755'}",0.0,optimal,0
689568,"{'CIW80_06475', 'CIW80_01260'}",0.0,optimal,0
692284,"{'CIW80_21815', 'CIW80_05995'}",-0.0,optimal,0
696713,"{'CIW80_01280', 'CIW80_06480'}",0.0,optimal,0
698512,"{'CIW80_05545', 'CIW80_24085'}",0.0,optimal,0
712860,"{'CIW80_18040', 'CIW80_20230'}",-0.0,optimal,0
724523,"{'CIW80_19465', 'CIW80_06355'}",0.0,optimal,0
732942,"{'CIW80_14210', 'CIW80_25415'}",0.0,optimal,0
757212,"{'CIW80_15335', 'CIW80_24090'}",-0.0,optimal,0
759665,"{'CIW80_02800', 'CIW80_07450'}",-0.0,optimal,0
760192,"{'CIW80_02800', 'CIW80_07480'}",-0.0,optimal,0
774424,"{'CIW80_13940', 'CIW80_22225'}",0.0,optimal,0
777047,"{'CIW80_07455', 'CIW80_02800'}",-0.0,optimal,0
783113,"{'CIW80_18045', 'CIW80_06485'}",0.0,optimal,0
783551,"{'CIW80_16605', 'CIW80_16625'}",0.0,optimal,0
796404,"{'CIW80_24930', 'CIW80_20510'}",0.0,optimal,0
806394,"{'CIW80_06475', 'CIW80_01275'}",0.0,optimal,0
811429,"{'CIW80_25415', 'CIW80_01345'}",-0.0,optimal,0
824842,"{'CIW80_22755', 'CIW80_20385'}",0.0,optimal,0
825257,"{'CIW80_10790', 'CIW80_18430'}",-0.0,optimal,0
840049,"{'CIW80_18035', 'CIW80_15025'}",0.0,optimal,0
840996,"{'CIW80_22655', 'CIW80_15440'}",0.0,optimal,0
849822,"{'CIW80_06485', 'CIW80_01260'}",-0.0,optimal,0
861897,"{'CIW80_18035', 'CIW80_15035'}",0.0,optimal,0
863818,"{'CIW80_06485', 'CIW80_01275'}",-0.0,optimal,0
866663,"{'CIW80_02815', 'CIW80_07450'}",0.0,optimal,0
880022,"{'CIW80_18260', 'CIW80_22670'}",0.0,optimal,0
891018,"{'CIW80_18040', 'CIW80_15015'}",-0.0,optimal,0
893407,"{'CIW80_06355', 'CIW80_08050'}",0.0,optimal,0
898015,"{'CIW80_02805', 'CIW80_07450'}",0.0,optimal,0
903071,"{'CIW80_17570', 'CIW80_20510'}",-0.0,optimal,0
911671,"{'CIW80_06480', 'CIW80_01275'}",0.0,optimal,0
918577,"{'CIW80_24930', 'CIW80_17570'}",0.0,optimal,0
926603,"{'CIW80_25415', 'CIW80_19405'}",0.0,optimal,0
932315,"{'CIW80_18040', 'CIW80_15025'}",0.0,optimal,0
934802,"{'CIW80_06355', 'CIW80_08055'}",-0.0,optimal,0
939768,"{'CIW80_12745', 'CIW80_02805'}",-0.0,optimal,0
943418,"{'CIW80_18045', 'CIW80_20230'}",0.0,optimal,0
