,U00096,binary_an,binary_ae,diff,K12_growth,difference
CIW80_05140,b2239,1,1,0,1,0
CIW80_05145,b2240,1,1,0,1,0
CIW80_05150,b2241,1,1,0,1,0
CIW80_05155,b2242,1,1,0,1,0
CIW80_05160,b2243,1,1,0,1,0
CIW80_05170,b2245,1,1,0,1,0
CIW80_05180,b2247,1,1,0,1,0
CIW80_05200,b2251,1,1,0,1,0
CIW80_05210,b2253,1,1,0,1,0
CIW80_05215,b2254,1,1,0,1,0
CIW80_05220,b2255,1,1,0,1,0
CIW80_05225,b2256,1,1,0,1,0
CIW80_05230,b2257,1,1,0,1,0
CIW80_05235,b4544,1,1,0,1,0
CIW80_05240,b2258,1,1,0,1,0
CIW80_05250,b2260,1,1,0,1,0
CIW80_05255,b2261,1,1,0,1,0
CIW80_05260,b2262,1,1,0,1,0
CIW80_05265,b2263,1,1,0,1,0
CIW80_05270,b2264,1,1,0,1,0
CIW80_05275,b2265,1,1,0,1,0
CIW80_05310,b2276,1,1,0,1,0
CIW80_05315,b2277,1,1,0,1,0
CIW80_05320,b2278,1,1,0,1,0
CIW80_05325,b2279,1,1,0,1,0
CIW80_05330,b2280,1,1,0,1,0
CIW80_05335,b2281,1,1,0,1,0
CIW80_05340,b2282,1,1,0,1,0
CIW80_05345,b2283,1,1,0,1,0
CIW80_05350,b2284,1,1,0,1,0
CIW80_05355,b2285,1,1,0,1,0
CIW80_05360,b2286,1,1,0,1,0
CIW80_05365,b2287,1,1,0,1,0
CIW80_05370,b2288,1,1,0,1,0
CIW80_05385,b2290,1,1,0,1,0
CIW80_05390,b2291,1,1,0,1,0
CIW80_05400,b2293,1,1,0,1,0
CIW80_05415,b2296,1,1,0,1,0
CIW80_05420,b2297,1,1,0,1,0
CIW80_05445,b2302,1,1,0,1,0
CIW80_05450,b2303,1,1,0,1,0
CIW80_05460,b2306,1,1,0,1,0
CIW80_05465,b2307,1,1,0,1,0
CIW80_05470,b2308,1,1,0,1,0
CIW80_05475,b2309,1,1,0,1,0
CIW80_05480,b2310,1,1,0,1,0
CIW80_05490,b2312,0,0,0,0,0
CIW80_05505,b2315,0,0,0,0,0
CIW80_05510,b2316,0,0,0,0,0
CIW80_05530,b2320,1,1,0,1,0
CIW80_05545,b2323,1,1,0,1,0
CIW80_05570,b2328,1,1,0,1,0
CIW80_05575,b2329,0,0,0,0,0
CIW80_05635,b2341,1,1,0,1,0
CIW80_05640,b2342,1,1,0,1,0
CIW80_05715,b2366,1,1,0,1,0
CIW80_05740,b2371,1,1,0,1,0
CIW80_05750,b2373,1,1,0,1,0
CIW80_05755,b2374,1,1,0,1,0
CIW80_05775,b2378,1,1,0,1,0
CIW80_05780,b2379,1,1,0,1,0
CIW80_05825,b2388,1,1,0,1,0
CIW80_05840,b2392,1,1,0,1,0
CIW80_05845,b2393,1,1,0,1,0
CIW80_05875,b2400,0,0,0,0,0
CIW80_05910,b2406,1,1,0,1,0
CIW80_05915,b2407,1,1,0,1,0
CIW80_05940,b2411,1,1,0,1,0
CIW80_05950,b2413,1,1,0,1,0
CIW80_05955,b2414,1,1,0,1,0
CIW80_05960,b2415,1,1,0,1,0
CIW80_05965,b2416,1,1,0,1,0
CIW80_05970,b2417,1,1,0,1,0
CIW80_05975,b2418,1,1,0,1,0
CIW80_05985,b2421,1,1,0,1,0
CIW80_05990,b2422,1,1,0,1,0
CIW80_05995,b2423,1,1,0,1,0
CIW80_06000,b2424,1,1,0,1,0
CIW80_06005,b2425,1,1,0,1,0
CIW80_06015,b2428,1,1,0,1,0
CIW80_06020,b2429,1,1,0,1,0
CIW80_06030,b2431,1,1,0,1,0
CIW80_06050,b2435,1,1,0,1,0
CIW80_06055,b2436,1,1,0,1,0
CIW80_06075,b2440,1,1,0,1,0
CIW80_06080,b2441,1,1,0,1,0
CIW80_06120,b2458,1,1,0,1,0
CIW80_06150,b2463,1,1,0,1,0
CIW80_06160,b2464,1,1,0,1,0
CIW80_06165,b2465,1,1,0,1,0
CIW80_06180,b2467,1,1,0,1,0
CIW80_06195,b2470,1,1,0,1,0
CIW80_06210,b2472,0,0,0,0,0
CIW80_06235,b2476,0,0,0,0,0
CIW80_06245,b2478,0,0,0,0,0
CIW80_06255,b2480,1,1,0,1,0
CIW80_06280,b2497,1,1,0,1,0
CIW80_06285,b2498,1,1,0,1,0
CIW80_06295,b2499,0,0,0,0,0
CIW80_06300,b2500,1,1,0,1,0
CIW80_06305,b2501,1,1,0,1,0
CIW80_06310,b2502,1,1,0,1,0
CIW80_06315,b2503,1,1,0,1,0
CIW80_06350,b2507,0,0,0,0,0
CIW80_06355,b2508,1,1,0,1,0
CIW80_06405,b2515,0,0,0,0,0
CIW80_06420,b2518,1,1,0,1,0
CIW80_06425,b2519,1,1,0,1,0
CIW80_06435,b2521,1,1,0,1,0
CIW80_06450,b2523,1,1,0,1,0
CIW80_06475,b2528,1,1,0,1,0
CIW80_06480,b2529,1,1,0,1,0
CIW80_06485,b2530,1,1,0,1,0
CIW80_06500,b2533,1,1,0,1,0
CIW80_06515,b2536,1,1,0,1,0
CIW80_06560,b2551,1,1,0,1,0
CIW80_06565,b2552,1,1,0,1,0
CIW80_06590,b2557,0,0,0,0,0
CIW80_06600,b2558,1,1,0,1,0
CIW80_06635,b2563,1,1,0,1,0
CIW80_06640,b2564,1,1,0,1,0
CIW80_06695,b2574,1,1,0,1,0
CIW80_06715,b2578,1,1,0,1,0
CIW80_06720,b2579,1,1,0,1,0
CIW80_06740,b2582,1,1,0,1,0
CIW80_06755,b2585,0,0,0,0,0
CIW80_06765,b2587,1,1,0,1,0
CIW80_06825,b2599,0,0,0,0,0
CIW80_06830,b2600,0,0,0,0,0
CIW80_06835,b2601,1,1,0,1,0
CIW80_06905,b2615,0,0,0,0,0
CIW80_06950,b2660,1,1,0,1,0
CIW80_06955,b2661,1,1,0,1,0
CIW80_06960,b2662,1,1,0,1,0
CIW80_06965,b2663,1,1,0,1,0
CIW80_06990,b2668,1,1,0,1,0
CIW80_07000,b2670,1,1,0,1,0
CIW80_07035,b2675,1,1,0,1,0
CIW80_07040,b2676,1,1,0,1,0
CIW80_07050,b2677,1,1,0,1,0
CIW80_07055,b2678,1,1,0,1,0
CIW80_07060,b2679,1,1,0,1,0
CIW80_07070,b2682,1,1,0,1,0
CIW80_07075,b2683,1,1,0,1,0
CIW80_07105,b2687,0,0,0,0,0
CIW80_07110,b2688,1,1,0,1,0
CIW80_07120,b2690,1,1,0,1,0
CIW80_07170,b2700,1,1,0,1,0
CIW80_07175,b2701,1,1,0,1,0
CIW80_07180,b2702,1,1,0,1,0
CIW80_07185,b2703,1,1,0,1,0
CIW80_07190,b2704,1,1,0,1,0
CIW80_07195,b2705,1,1,0,1,0
CIW80_07210,b2708,1,1,0,1,0
CIW80_07220,b2710,1,1,0,1,0
CIW80_07225,b2711,1,1,0,1,0
CIW80_07275,b2719,1,1,0,1,0
CIW80_07280,b2720,1,1,0,1,0
CIW80_07285,b2721,1,1,0,1,0
CIW80_07290,b2722,1,1,0,1,0
CIW80_07295,b2723,1,1,0,1,0
CIW80_07300,b2724,1,1,0,1,0
CIW80_07320,b2727,1,1,0,1,0
CIW80_07380,b2738,1,1,0,1,0
CIW80_07420,b2744,1,1,0,1,0
CIW80_07430,b2746,0,0,0,0,0
CIW80_07435,b2747,0,0,0,0,0
CIW80_07450,b2750,1,1,0,1,0
CIW80_07455,b2751,1,1,0,1,0
CIW80_07460,b2752,1,1,0,1,0
CIW80_07480,b2762,1,1,0,1,0
CIW80_07485,b2763,1,1,0,1,0
CIW80_07490,b2764,1,1,0,1,0
CIW80_07495,b2765,1,1,0,1,0
CIW80_07580,b2779,1,1,0,1,0
CIW80_07585,b2780,0,0,0,0,0
CIW80_07590,b2781,1,1,0,1,0
CIW80_07595,b2784,1,1,0,1,0
CIW80_07610,b2787,1,1,0,1,0
CIW80_07615,b2788,1,1,0,1,0
CIW80_07620,b2789,1,1,0,1,0
CIW80_07650,b2794,1,1,0,1,0
CIW80_07660,b2796,1,1,0,1,0
CIW80_07665,b2797,1,1,0,1,0
CIW80_07675,b2799,1,1,0,1,0
CIW80_07680,b2800,1,1,0,1,0
CIW80_07685,b2801,1,1,0,1,0
CIW80_07690,b2802,1,1,0,1,0
CIW80_07695,b2803,1,1,0,1,0
CIW80_07730,b2810,1,1,0,1,0
CIW80_07745,b2813,1,1,0,1,0
CIW80_07890,b2817,1,1,0,1,0
